"","SightingID","ReportSource","ReportDate","ReportTime","EventDate","EventTime","ApproximateDate","Duration","Location","City","State","Zip","County","Country","Summary","Narrative","Profession","TotalObservers","NoofShips","Shape","Aircraft","AnimalResponse","ElectricalMagnetic","Sounds","EmitObjects","EmitBeams","Aura","Trail","LightsOnObject","ChangeColor","Landing","Entities","Abduction","MissingTime","PhysPsychEffects","NUFORCNote","Explanation","Certainty","PilotMilitaryObserver","StructuredCraft","MetalSphere","Hightlight","EventYear","EventDecade","EventQuarter","EventMonth","EventHour","EventTimeGroup","RegionUS","food_pills","bullet","force_field","blinding_light","odd_anatomy"
"33283",45677,"Web","2005-08-18","2005-08-18 22:36:27","2005-08-18","1899-12-30 07:30:00",0,"5mins",NA,"Armadale (Australia)",NA,NA,"Western Australia","Australia","At first we thought it was a baloon, but we saw it so something i've never thought a baloon was capable of.","At first we thought it was a baloon, but we saw it so something i've never thought a balloon was capable of.

It was a shiny dot in the sky. at first, i just thought it was a baloon. But it did something a balloon could never do. It sat in one spot for a minute or so then zoomed across the sky like a bullet.  After another minute or so, it zoomed back to the same spot. 

After another few minutes it zoomed off into the horizon. 

i don't know what the hell it was, but when my mum called the UFO reporting center, she said that the man told her that other people had seen it do the exact same thing at the same time. We don't know what the hell it was, but i'd love an explanation.


",NA,0,0,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Source elects to remain totally anonymous; provides no contact information.  PD",NA,NA,0,0,0,0,2005,2000,3,8,7,"Morning",NA,0,1,0,0,0
"33454",45872,"Web","2005-08-27","2005-08-27 14:54:01","2005-05-05","1899-12-30 09:00:00",0,"10 sec",NA,"Horn Lake","MS","38671",NA,"USA","2 cylinder or tube objects above the city of Memphis.","2 cylinder or tube objects above the city of Memphis.

Horn Lake Park in Horn Lake, Mississippi, very near Memphis, TN airport. Early morning I was working out. Laying on the deck doing situps...skys were clear, sunny. FedEx planes and other aircraft were out. Very busty morning. However, out of the blue...an object that looked like a cylinder or a tube...very metallic flew by...no sound. It was low...maybe 1000ft? First thing I thought was...wow where is the wings? I dismissed it until another tube went by....exact flight path as the other. Same description. It didn't hit me until after I seen them that I started wondering. Where were the wings? Where was the sound? Was it a missile? Seemed odd it was flying in such busy skys...but then again...it made perfect sense because the skys were so busy anyway with planes and such. Besides that who would report it? Its taken me 3 months just to report it because I had to come to termsn with what I seen. A metallic tube or cylinder object flying about 1000 ft maybe a bit more up in the air. How long or big? Dont know...didn't see it long enough. Very strange. I decline to give my personal information.


",NA,0,2,"cylinder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Witness elects to remain totally anonymous.  PD",NA,NA,0,0,0,0,2005,2000,2,5,9,"Morning","South",0,1,0,0,0
"33683",46153,"Web","2005-09-10","2005-09-10 18:52:17","1977-04-26","1899-12-30 18:05:00",1,"30 seconds",NA,"Kansas City","MO","64152","Platte","USA","Symmetric geometric shape, black with blinking long red lights.","Symmetric geometric shape, black with blinking long red lights.

My childhood friend and I were playing a game of catch with a baseball in our neighborhood.  The ball went over our heads and up the street.  We both ran after it to see who could get it first.  We got to the ball at the same time.  Neither one of us touched the ball, we were both distracted by what we saw ahead of us in the sky.  

We were looking south and there was a Catholic church across the road from our neighborhood.  What we saw looked like it was perched on top of the tall pointed steeple.  I quickly realized that what I was seeing was actually miles away from us, and it had to be very large.  It was a very unique geometric shape, unlike anything else I have ever seen.  It was taller than it was wide.  It was very symmetric in shape.  It looked like a tall triangle was sitting on a mirror and the top point had been cut off about 3/4 of the way up, so it had a flat top and bottom.  It also looked like two more shorter stubbed triangles had been placed on either side of the object directly in the middle tapering out.  It appeared that the object was black and it had what looked like red flourescent light bulbs on it that followed the same pattern as the outer edges of the shape.  The lights were blinking on and off in a random but slow pattern.  The sky in the background was pure blue without a cloud in the sky, so the object was very distinct in the sky.  It seemed to hover in place for about thirty seconds and then started to slowly rise and move away.  Then it suddenly bolted faster than my eyes could keep up, I just remember knowing that it had traveled faster than anything on this planet could ever go, except maybe a bullet.

My friend and I just stood there with our mouths hanging open in awe at what we had just seen.  We looked at each other for a few seconds without saying anything and then I said ""Did you just see that?"".  He said yes.  I told him not to say anything to me about what he saw, just to go home and write it all down and draw the object.  I then told him that we would compare our notes the next morning when we were on the bus for school.  Just for the record, I only new to do all of this because the TV show 'Project Blue Book' was a series on TV at the time and I had seen the Air Force investigators on the show tell people to do that, so they could buid a more credible case.  Anyway, we both went home and wrote and drew what we had seen.  I told my parents about it, but of course they were not going to believe a little boy telling such wild tales.  The next day my friend and I compared our notes and drawings and they were identical.  I have never forgotten that event nor have I ever seen any other drawings or pictures that looked like the object we saw.  I have always wondered if anyone else saw that object that night.  I also want it to be known that I am not sure of the exact date that this took place, but I believe that I am fairly close to it.  If anyone out there saw this, all those years ago, please post your sighting so I will know that my friend and I were not the only two that saw this amazing sight.


","Self-employeed",2,1,"other",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Witness indicates that the date of the sighting event is approximate.  PD",NA,NA,0,0,0,0,1977,1970,2,4,18,"Evening","Midwest",0,1,0,0,0
"33735",46210,"Web","2005-09-12","2005-09-12 12:17:43","2005-09-12","1899-12-30 06:00:00",0,"10 sec",NA,"Florence/Vicksburg","MS","39073","Rankin/Warren","USA","Green flash then witness high altitude slow moving large fireball trajectory intersected by","Green flash then witness high altitude slow moving large fireball trajectory intersected by

Explosion in the dark cloudless sky early this morning.

It was at high elevation and appeared to be over Terry, MS (although that may be a bad guess).

It took place @ 6:00am + - 5min.

There was an initial bright greenish flash.

It lit my up driveway and my first thought was lightening, but upon looking up, I was met by this odd spectacle.

what I witnessed was a ball of fire that slowly traveled a short distance across the sky leaving a large smoke trail before it exploded.

No audible evidence of the explosion ever presented itself.

 A friend of mine saw the same event while out jogging in Vicksburg, MS.

He said it looked like it was heading almost straight down from his perspective 50mi away from Florence.

As for viewing angle, he said it appeared to be approximately E @ a 45deg up from the horizon.

From my perspective in Florence, it was headed SE on a slow trajectory and lasted approximately 10sec.

My viewing angle put it approximately WSW @ 80deg up from the horizon.

 In addition, what looked like a shooting star traveling SW at high speed intersected where the burning object would have been if it hadn't exploded a fraction of a second earlier.

 Really looked like an airplane was being shot down by missiles.

Can't imagine what else it might have been.

It certainly didn't appear to be a meteor judging by past experience.

Rather unnerving....

",NA,2,2,"fireball",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,2005,2000,3,9,6,"Morning","South",0,1,0,0,0
"33915",46430,"Web","2005-09-22","2005-09-22 19:52:44","2005-09-22","1899-12-30 19:26:00",0,"10 minutes",NA,"North Hollywood","CA","91601",NA,"USA","((NUFORC Note:  Vandenberg AFB missile launch.  PD))  Bright Light that left a Trail behind.","Bright Light that left a Trail behind.

Bright Light that left a multi-colored trail behing it.  The light traveled across sky, making a number of turns and spiral turns.  This lasted about a minute or so, then stoped and slowely faded to black.  THe vapor trail left was multiple colors ranging in orange to light blue.  THe trail remained in the sky for over 10 minutes as it slowly faded away.


",NA,5,1,"light",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Witness elects to remain totally anonymous; provides no contact information.  PD",NA,NA,0,0,0,0,2005,2000,3,9,19,"Evening","West",0,1,0,1,0
"33918",46433,"Web","2005-09-22","2005-09-22 19:57:05","2005-09-22","1899-12-30 19:20:00",0,"3 minutes ?",NA,"Ramona","CA","92065","San Diego","USA","((NUFORC Note:  Vandenberg AFB missile launch.  PD))  Point of light leaves an expanding glowing pear-shaped cloud of gasses.","

Point of light leaves an expanding glowing pear-shaped cloud of gasses, visible in N.County San Diego.

When first seen, there was a pear shaped glowing fan of gasses behind a single bright fireball.  The fireball was moving approximately North to South.  Behind the globe of expanding gasses, there was a contrail? twisting off to the west/north-west.  The westernmost end of the twisty trail was red with the fading sunlight.  The trail became a very bright white as it got more twisty and blended into the expanding pear of gasses.

 After about two mintes, the point of light disappeared, no new gasses were added to the pear, though it continued to expand in size and fade in intensity.  The twisty trail stayed bright for several more minutes, the colors shifting as the sun set.  After twienty mintes, nothing remain visible of the twisty trail.

 Attempting to follow the point of light to the south, about three minutes after it disappeared, it appeared again, continueing in a straight line.  The new pear of gasses forming behind it glowed reddish (like the sunset).

 My guess would be a meteor skipping across the top of the atmosphere.  The initial outgassing causing it to spin, spewing its gasses into the twisty trail.  Finally just melting away on each skip into the atmosphere.

 On the other hand, it may have been something totally else.  If you know, I'd like to hear back what it really is.

 It occurs to me that the oldest part of the trail was the red of sunset, suggesting that it may have been low in the atmosphere.  From mid trail on, including hte initial pear of gasses, it was bright white, suggesting it was in full sunlight, not scattered throught he atmosphere.  I don't know what kind of object would do this starting at a low altitude.

 Thanks.


","Senior Software Engineer",2,1,"fireball",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Vandenberg AFB missile launch.  PD",NA,NA,0,0,0,0,2005,2000,3,9,19,"Evening","West",0,1,0,0,0
"33922",46437,"Web","2005-09-22","2005-09-22 20:25:31","2005-09-22","1899-12-30 20:43:00",0,"8TO 9 SECONDS",NA,"Silver City","NM","88062","Grant","USA","bright object emits spherical cloud like something out of WAR OF THE WORLDS.","bright object emits spherical cloud like something out of WAR OF THE WORLDS.

At 20:43 hrs. we saw a bright light that literally began to form a large perfect bubble of light expanding from some point to the west of the Silver City Mountains.

As the luminous cloud began to expand (white in color with orange) we saw an object heading straight south at a perfect horizontal line with this cloud emission coming out of the end.  The light which had a strobe or red light on it quickly disappeared to the south.  The cloud grew into a perfect sphere like the blisters around the crafts in WAR OF THE WORLDS. Then the cloud disipated. We immediately called 911 and within minutes they reported that the FAA said it was a missile fired from Vandenberg.

However, I have seen missiles launched and this did not fit the pattern.  We could see the object and the cloud, no contrail, just this wierd cloud that looked nuclear.

I was afraid that it might have been just that. But it wasn't.  I do always trust what the government reports.  I have seen missile launches from White Sands and this looked different.  Any comments???????","PSYCHIC /ARTIST/WRITER",3,1,"light",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,2005,2000,3,9,20,"Evening","West",0,1,0,1,0
"33923",46439,"Web","2005-09-22","2005-09-22 20:36:53","2005-09-22","1899-12-30 19:30:00",0,"2 minutes",NA,"Yorba Linda","CA","92886","Orange","USA","((NUFORC Note:  Vandenberg AFB missile launch.  PD))  Boomerang shaped object with bright light emanating from the rear of the craft.","Boomerang shaped object with bright white light emanating from the rear of the craft.

A boomerang shaped craft flew silently threw the clouds in the night sky.  It was roughly the size of a C-130.  There was an extremely bright white light emanating from the rear of the craft, and the sky remained lit up as the craft continued.  After several minutes the light trail began to look phosphorescent.  The glow remained for almost 10 minutes and then vanished.  A civil aircraft flew overhead, and it was obviously very different.


","U. S. Navy Pilot",10,1,"triangle",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Vandenberg AFB missile launch.  PD",NA,NA,0,0,0,0,2005,2000,3,9,19,"Evening","West",0,1,0,1,0
"33927",46443,"Web","2005-09-22","2005-09-22 21:21:29","2005-09-22","1899-12-30 19:30:00",0,"30 minutes",NA,"Chandler","AZ","85249","Maricopa","USA","((NUFORC Note:  Missile launch.  PD)) Glowing trail of orange-white light low in the sky accompanied by super-bright, blue-white light.","Glowing trail of orange-white light low in the sky accompanied by super-bright, blue-white light high in the sky.

I arrived home from shopping and parked my vehicle in the garage.  Neighbors were walking westward down our cul-de-sac street when they passed in front our driveway and asked ""do you see the light in the sky?'  I stepped out of the garage and walked down the driveway approximately 20 feet to the street in order to see a trail of glowing orange-white light low in the western sky.  This trail of light had a ""switchback"" appearance to it and originated in the west and traveled across the low horizon towards my location in the east.  This trail glowed quite brightly with varying intensities across the length of the trail for approximately 10-15 minutes and then slowly disipated and disappeared.

 Above the trail of orange-white light low in the sky appeared a very bright blue-white light traveling northeast to southwest high in the sky at a constant altitude.  This bright blue-white light illuminated an obvious and very large ""cone"" of smoke or spent gas behind it as it progressed across the sky.  This light burned much shorter than the low trail of light glowed - perhaps 5-7 minutes.  When the bright blue-white light extinguished it did so with a momentary super-intense bright white flash.  After the high, bright blue-white light extinguished the extremely large ""cone"" of smoke or gas eminating from behind the light was still visible for approximately 10 minutes until it too disipated and disappeared.

 Throughout the event I was looking at the western sky with binoculars and sighted 5 aircraft that appeard to be helicopters operating along the low horizon.

 Local radio news reports broadcast on KFYI AM 550 in Phoenix, AZ reported the event as a ""top-secret satellite launch from Vandenburg A.F.B. in California"".  I have witnessed several night launches of missles, rockets and space launch vehicles (some from Vandenburg A.F.B.) and none of these previous launches left a ""switchback"" trail of orange-white spent gasses in the atmosphere.  Further, if this was a vertical, space-vehicle launch, what explains the bright, blue-white light traveling northeast to southwest across the sky at a constant altitude and then extinguishing with a flash?  I could understand the news report as a ""satellite launch"" if the launch vehicle went out of control (creating the ""switchback"" trail of orange-white light) and the launch was pre-empted by ground control and the vehicle destroyed.  That would also explain the ""horziontal"", northeast to southwest travel of the bright, blue-white light at a constant altitude, the ""cone"" of smoke or gas behind it and the momentary super-intense bright white flash just before the light extinguished.


",NA,4,1,"light",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Vandenberg AFB missile launch.  PD",NA,NA,0,0,0,0,2005,2000,3,9,19,"Evening","West",0,1,0,0,0
"33932",46448,"Web","2005-09-22","2005-09-22 23:57:08","2005-09-22","1899-12-30 19:30:00",0,"bright light",NA,"San Diego","CA","92129",NA,"USA","((NUFORC Note:  Vandenberg AFB missile launch.  PD)) The bigger bright light was travel in san diego and left trail behide","  

the bigger bright light was travel in san diego and left trail behide rainbow glow color night .

I was in the parking lot at home depot and happened to look up and saw a big bright light traveling southwest from approximately on w56 freeway in san diego , bright ligth was travel about 3 mins at that time , can anyone tell what happen in the sky night and that hurt my eye and profound think when i was looking up at the sky than about 10 mins later 2 army Helicopter came fly around the sky .","home depot worker .",20,0,"fireball",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vandenberg AFB missile launch.  PD",NA,NA,0,0,0,0,2005,2000,3,9,19,"Evening","West",0,1,0,1,0
"33937",46456,"Web","2005-09-23","2005-09-23 09:38:40","2005-09-22","1899-12-30 19:25:00",0,"1 minute",NA,"Corona","CA","92879","Riverside","USA","((NUFORC Note:  Vandenberg missile launch.  PD))  Strange light in the W side of the sky like a search light.","

strange light in the west side of the sky looked like a search light that was just by itself moving

A light caught my eye outside the window which looked very strange. it appeared in the west side of the sky moving very slowly. it looked like a police helicopter light without any helicopter. it was moving from the right to the left of the sky. i then ran downstairs and out the door with a camera and object was gone. it just dissapeared. note: there was also a missle launch that had occured the same day, but i can tell you it was not a missel or any such conventional aircraft. i know what i saw and it was not a missel, helicopter, airplane,meteor,ballon,blimb, or anything of that such nature.",NA,2,1,"light",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"Vandenberg AFB missile launch.  PD",NA,NA,0,0,0,0,2005,2000,3,9,19,"Evening","West",0,1,0,0,0
"34019",46559,"Web","2005-09-28","2005-09-28 07:39:17","2005-09-16","1899-12-30 23:00:00",0,"10 minutes",NA,"Penacook","NH","03303","Merrimack","USA","triangle over Camp Spaulding","triangle over Camp Spaulding

When I picked my grandson up after 2 weeks at Camp Spaulding he had an interesting story of a sighting.

""It was after 11:00 PM, and from inside the cabin, when all the lights were out and some kids were asleep, I saw something through the window and got up.  I went outside alone for a minute, then went inside to get a counselor.  A counselor and another camper came out and watched it with me for about 10 minutes. A triangle hovered above trees, went back and forth, went down a little bit, then went back up, and three corner lights were flashing red, blue, white.  There were little blue lights around the outline of the triangle, like Christmas lights, but the kind in a tube.  It didn't make any noise.  It turned on its beam from underneath. It didn't shine all the way to the ground at first. It would shut off and turn on quickly and shine closer to the ground, the beam was slowly dropping down. When the light was off it just looked like a black hole in the middle. The beam stayed on a long time, almost the whole 10 minutes. It was over the woods, maybe over the river. There was something the beam was shining on, like a star, it didn't move, it didn't go up in the beam, it just shined on it.  Then the beam shut off and the triangle shot right up into the air faster than a bullet and was gone."" I checked with the counselor before we left for home, he confirmed the sighting.

","homemaker",3,1,"triangle",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,2005,2000,3,9,23,"Night","Northeast",0,1,0,0,0
"34038",46589,"Web","2005-09-29","2005-09-29 02:46:50","1999-12-10","1899-12-30 16:30:00",1,"10 sec",NA,"Cochin (near) (China)",NA,NA,NA,"India","a bullet like object  in air very close to earth,so directional and path changing","a bullet like object  in air very close to earth, so directional and path changing

i was standing outside,it was a sunny evening and ours is a hilly area ..infront of me was the ""annanthampi"" hills.iwas watching the mountain..suddnly a BULLET shaped object appered and it shined well in sun light in ametallic silver color..it was quite below the mountain and approched it in perpendicular path..i thought that it was going to hit the mountain almost at its half height...but when it reached very near the mountain then  it took a 90 degree rotation to upwars..it is then highly accelerated and passed in parallel way to the mountain.. it was then just like a bullet fired straight to the sky..

 after this i ran to my teacher who is staying near to me and told her thew matter.. mean time my close friend arrieved there, and before saying any thing,he told us that he saw  a wonder ..he also saw the same thing


","s/w engineer",2,1,"other",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Witness indicates that the date of the incident may be approximate.  PD",NA,NA,0,0,0,0,1999,1990,4,12,16,"Afternoon",NA,0,1,0,0,0
"34079",46638,"Web","2005-09-30","2005-09-30 11:22:05","1998-10-13","1899-12-30 06:00:00",1,"20 minutes",NA,"Painesville twp","OH","44077","Lake","USA","metallic sphere  sitting upon surface of lake erie. silent and shimmering rotating appearance","metallic sphere  sitting upon surface of lake erie. silent and shimmering rotating appearance

While fishing on shore of Lake Erie around first light before sun-up, I noticed an egg or bullet-shaped object upon the surface of the water approximately 300 yards away down the shoreline and sitting or floating stationary about 20 yards from shore in shallow water (3 to 5 feet sand/clay/rocky bottom) It was a metallic-shimmering dome shape which did not move laterally at all but almost appeared to be rotating without any sound or splashing. Very hard to focus on it because of ""shimmering surface"" and low light conditions. (looking west down shoreline) I stared at it non stop for about 10 minutes while casting into lake and of course, I hooked a fish. After landing fish I looked up to find it GONE. No sound no nothing. I returned multiple times to same area, time, light conditions, never to see anything like it again.  It reminded me of a surfacing submarine at first thought,but water much too shallow. I estimate its size to be approximately 10 feet high with a conical shaped top, about 8 feet in diameter with its bottom un seen or flat.


",NA,1,1,"oval",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Witness indicates that date of sighting is approximate.  We will request that the witness attempt to determine the precise date.  PD",NA,NA,0,0,0,0,1998,1990,4,10,6,"Morning","Midwest",0,1,0,0,0
"34315",46905,"Web","2005-10-11","2005-10-11 00:04:27","2005-09-22","1899-12-30 19:20:00",0,"15-20 minutes",NA,"West Holloywood","CA","90069",NA,"USA","((NUFORC Note:  Vandenberg AFB missile launch.  PD)) long trail of lights and gases above West Hollywood, Ca","long trail of lights and gases above West Hollywood, Ca

I've never writen anything like this before...but it was so stricking that I had to let someone know.

 looking west out my patio on the 3 fl of my building, my husband and I saw a long stream of lights and gases that spand several miles in a westerly direction toward the ocean. I did not see what left the trail of lights and gases but it appeared to be in the atmosphere.

The trail itself was VERY BRIGHT white glow that graded into yellow, then deep orange, and final at the far end of the trail a dark redish-orange. The trail went in what looked like loops with a few  sparp zig-zags or ""V"" shape. the lights and gases stay visable for atleast 15 minutes that I saw but there is no telling how long it was there before I saw it.

",NA,2,0,"unknown",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,2005,2000,3,9,19,"Evening","West",0,1,0,0,0
"34374",46974,"Web","2005-10-13","2005-10-13 16:25:23","2005-10-12","1899-12-30 22:00:00",0,"5 minutes",NA,"San Jose","CA","95118","Santa Clara","USA","Possible Chinese Spacecraft Launch??","Possible Chinese Spacecraft Launch??

I was sitting in my living room watching TV when I heard a fairly loud, deep rumbling noise coming from outside that lasted approximately one minute, that sounded different than any normal aircraft that I know of. 

I then went outside to investigate and looked up at the night sky and noticed an odd, wide, fairly short contrail situated right next to the moon.  It looked to me like it possibly could have come from a Vandenberg missile launch (I've seen several of them in my lifetime out here on the West Coast). I called Vandenberg today and was told there was no missile launch from them last night. 

I ran across news reports online today of the launch of a two manned spacecraft in northwestern China yesterday morning, and the time of that launch seems to correspond with the time that I experienced the rumbling and observed the contrail. 

I checked and noted my local time before I went outside to look around, and it was 10:00 PM PST exactly.","Healthcare Technician",1,NA,"unknown",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,2005,2000,4,10,22,"Night","West",0,1,0,0,0
"34403",47007,"Web","2005-10-15","2005-10-15 13:36:47","1999-08-15","1899-12-30 20:30:00",0,"2 minutes",NA,"Bath","ME","04530",NA,"USA","A few years ago on my way to work, at about 9:30 at night I observes while driving what appeared to be a huge air plane to my left. The","A few years ago on my way to work, at about 9:30 at night I observes while driving what appeared to be a huge air plane to my left.  

The outline was in amber (orange) lights, and thought this to be unusual, also the size was amazing. Judging by the distance it was from me I would have to guess it was as large as a football field in length. 

I took my eyes off it for a second because I was driving, when I looked again it had changed shape to a triangle and three bright lights took the place of the amber lights.  There was no sound.

I started to pull over to have a good look at what this was, when there was a bright flash that lit up the tree tops.  When I look at where the object was it had disappeared.


No there was no sound.  At first I thought I was looking at a giant air plane because the amber lights were outlined in the shape of a commercial jet, but huge.  I have seen other occurrences here also but did not want to report them because they are weird.  Two others to be exact.  Bath shipyards are here in bath where they build destroyers for the navy. Missile destroyers.  I worked at the shipyard at the time of the sightings.","Retired",1,1,"changing",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1999,1990,3,8,20,"Evening","Northeast",0,1,0,1,0
"34421",47027,"Web","2005-10-16","2005-10-16 16:00:39","2005-09-22","1899-12-30 20:00:00",0,"15 MINS",NA,"Baja (Mexico)",NA,NA,NA,"Mexico","((NUFORC Note:  Missile launch from Vandenberg AFB.  PD))  SOME SORT OF CRAFT AND MUSHROOM CLOUD, TO THE NORTH","SOME SORT OF CRAFT AND MUSHROOM CLOUD, TO THE NORTH MY HAVE BEEN OVER SOUTHERN CALIFORNIA--WE WERE IN MEXICO--BAJA ON THE 9/22 THEIR ARE 5 IN THE GROUP AND WE SAW SOMETHING INSANE. has there been any other settings that night--either in northern Mexico and/or southern California!!!!!??


","COMMERCIAL R.E APPRAISER",5,1,"unknown",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Missile launch from Vandenberg AFB.  PD",NA,NA,0,0,0,0,2005,2000,3,9,20,"Evening",NA,0,1,0,0,0
"34513",47139,"Web","2005-10-21","2005-10-21 11:51:14","1987-01-13",NA,1,"Unknown",NA,"Montgomery (near)","AL",NA,NA,"USA","Star Trek Actor Sees UFO In Alabama.","

Star Trek Actor Sees UFO In Alabama.

In the biography of DeForrest Kelley, who played Dr. Leonard McCoy on the original Star Trek series called ""From Sawdust To Stardust"" by Terry Lee Rioux from Pocket Books on page #87, is a report of a UFO.  

Here is the report as quoted from the book:  

""Many years later, Kelly confessed that they saw an unidentified flying object while driving across country.  He said he was riding in the back of the car;  they were entering Alabama when they saw it. 

'This object came by at a tremendous rate of speed at a very low altitude...around 700 or 800 feet...it looked to be about 65 feet in length.  It was a long, cigar-shaped object with green and blue flames coming out of its side.'  There was a soft sound like a missile, it had a red taillight flashing, and it had no wings.  

Once in Montgomery, the trio (DeForrest Kelley, his wife Carolyn, and Superman actor George Reeves) found a newspaper that carried stories of the sightings.  Even when Kelley told the story decades later, he did not mention Reeves by name.  He quietly guarded the old friendship, and, besides, some things were just too fantastic to believe.""  

For further information on this story, refer to the Carolyn Kelley interviews:  ""My Real-Life Encounter With A UFO,"" National Enquirer, January 13, 1987.   

Carolyn Kelley and friends corroborate the story, and the Enquirer was accurate.","Substitute Teacher",2,1,"cigar",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,"Date unknown.  We will attempt to determine it.  If anyone knows the date of the sighting, please contact our Center, and we will include the date.  PD",NA,NA,0,0,0,0,1987,1980,1,1,NA,NA,"South",0,1,0,0,0
"34827",47524,"Web","2005-11-07","2005-11-07 09:10:35","2005-11-05","1899-12-30 22:50:00",0,"2 seconds",NA,"Kingston","OK","73439","Marshall","USA","flying object, low, no sound, missile like yellow orange with a trail","flying object, low, no sound, missile like yellow orange with a trail

The sky was very clear and black.  Stars were bright as well.  

We noticed 3 falling stars.  One before the event and 2 after the event.  

Coming from the southeast heading to the northwest.  Heard no noise, but a train was passing about 7 miles away.  A large lake is the the south/southeast of us so sound travels very well.  

The object reminded me of a falling star, but orange/yellow in color and about 20 times larger.  Also it was going in the opposite direction of a falling star.  It had somewhat of a trail or tail following behind. 

This whole episode only lasted in our eyesight only a few seconds do to trees, barns, awnings.  

Waited and watched for about 1 1/2 hours to see if another one came by, but nothing but the 2 falling stars that were more of a white color.  I would describe it as missile like.


",NA,2,NA,"other",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Witness elects to remain totally anonymous; provides no contact information.  PD",NA,NA,0,0,0,0,2005,2000,4,11,22,"Night","South",0,1,0,0,0
